FID IID C1 C2 C3 C4 C5 C6 C7 C8 C9 C10
234 006_S_0653 -0.0181128 -0.0172305 0.0155687 0.000739147 -0.00995946 0.00476345 -0.0058387 -0.0108825 -0.00197047 -0.00159399
236 126_S_0605 -0.00939223 -0.00882979 -0.0114355 0.00332697 -0.00757782 0.0132619 0.000167896 -0.0049798 0.0148701 -0.00165907
238 023_S_0139 0.00222516 0.00906699 0.0156164 -0.00374546 0.00656607 0.0023567 -0.00998363 -0.00720655 0.00680023 0.00211174
239 029_S_1384 0.00576459 -0.00300154 -0.00980118 0.00989592 -0.0198706 0.0029589 0.010315 -0.00347157 0.0030628 -0.00888532
240 027_S_1082 0.00742484 0.00275167 0.00108222 0.00322029 0.00595847 -0.00419343 -0.00550512 0.00538643 -0.0173044 0.00348491
241 128_S_0500 0.0125151 -0.00984569 -0.00166767 -0.00840946 -0.00285115 -0.00211929 0.0156154 -0.00138912 0.00614682 0.00296008
242 023_S_0376 -0.00676228 -0.00319291 -0.0132274 0.00108994 0.0167217 0.00433176 -0.00319514 -0.00375531 0.00666711 0.00338593
244 057_S_0957 0.0116401 0.00391012 0.0016454 -0.00347333 -0.00831189 -0.00256983 -0.00668569 -0.0180888 0.0217621 0.0116734
247 082_S_1256 -0.0214868 0.015508 -0.0147037 0.00166192 -0.000198286 -0.0131547 0.00471403 -0.00473587 -0.0059575 -0.00362771
248 141_S_0810 0.000744514 -0.00551115 0.0101973 -0.00447102 0.000420016 0.000636232 -0.0124334 0.00276889 0.000108918 0.010023
249 041_S_1391 -0.00357113 -0.00482838 -0.0100129 -0.0109118 0.000371528 0.00218009 -0.000195327 -0.00231346 -0.00545927 -0.00976902
250 016_S_0590 -0.00609889 -0.00751642 -0.00917913 0.0256104 -0.00355814 0.0159275 0.00885372 -0.00848085 0.00785582 -0.00535515
251 007_S_0414 0.0051178 -0.000533453 0.00131506 0.00427215 0.0128583 0.00620412 -0.0045872 -0.00423331 0.00100457 -0.0112593
252 057_S_1269 0.00466414 -0.0124638 -0.00359255 -0.00904186 0.00630824 0.00882879 0.000288076 0.00500455 -0.00772386 0.000818236
253 007_S_0249 0.00197534 -0.00768103 -0.00849745 0.0124068 -0.0279735 -0.00588616 0.0141404 0.00615586 -0.00555297 -0.00733047
257 062_S_0690 0.000777136 -0.00674629 -0.00864121 0.00128283 -0.0136766 -0.000414077 -0.00382437 -0.00798456 -0.00767373 -0.00660712
258 007_S_1248 -0.0197155 0.013988 0.0032033 0.00357876 -0.0111007 0.00420822 0.00260438 0.000735761 -0.0040123 -0.00457778
259 011_S_0861 0.000577267 -0.0167439 -0.0057837 0.00225847 -0.00919923 0.00702791 -0.00655877 0.0158427 -0.00540012 -0.00937766
260 006_S_0498 -0.001124 -0.00363328 -0.0133993 0.00116144 -0.00945653 0.00535492 0.0107388 0.00884056 -0.0215718 -0.00369594
261 137_S_0722 -0.00945855 -0.00355803 -0.0127379 -0.0102515 0.0116726 -0.00548983 0.00401712 0.0110919 0.00689484 -0.00524879
262 052_S_1251 0.00293795 -0.00115341 0.00486946 -0.00355959 -0.00623334 0.00190525 -0.00209014 -0.00572083 -0.0133517 -0.0011785
265 141_S_0726 0.00145523 -0.0100208 0.00752764 0.00646016 -0.0124439 0.0146289 -0.0165618 -0.00474097 0.000775637 -0.0047104
266 129_S_1246 -0.0069812 -0.0193156 0.0126 -0.00405519 0.00694379 0.0107297 0.00495514 0.00119662 -0.00145024 0.0104156
267 130_S_0102 0.00313774 -0.00209813 -0.00112785 -0.0166021 -0.00839636 -0.00295794 0.00233622 -0.000836678 -0.0132745 0.000133683
268 141_S_1004 -0.0126143 0.0191608 0.0111433 -0.00556375 -0.00442433 0.00588306 0.00660956 0.00381438 0.013942 0.00399622
269 130_S_0423 -0.0032917 -0.0102533 0.026791 0.0124001 0.0117262 -0.0100574 0.000855391 -0.00300824 -0.0162305 -0.00346398
272 141_S_1231 -0.00258118 -0.0098272 -0.00357941 0.0189748 0.00955826 0.0212412 -0.00390537 -0.000524389 0.0022645 0.00987933
273 062_S_0768 -0.00162069 0.0183292 0.0100981 0.0138265 -0.00607573 -0.00282024 0.000872862 0.0039536 0.00152527 -0.012712
275 018_S_0087 0.0163241 0.00225354 0.003627 0.00732316 -0.00213363 -0.00473089 -0.00508498 -0.00415087 0.00401109 -0.00431614
276 023_S_1190 0.0111194 -0.00127646 0.00114325 -0.000970229 -0.00152154 -0.00143382 0.0083606 0.000199253 -0.00203376 0.00174238
277 018_S_0335 -0.00228401 -0.0101718 -0.0115604 -0.00622941 0.00194338 -0.0130801 -0.0130059 0.0126672 -0.00939009 0.000948006
278 052_S_0671 0.00248688 -0.00099659 0.000834266 -0.000761577 -0.00996244 0.00767359 -0.0107849 -0.00405013 -0.00695627 -0.00671875
280 011_S_1282 6.81041e-05 0.00169348 -0.00306413 0.00897883 -0.00174751 -0.0119635 -0.00952214 0.00428672 -0.00595123 0.00574957
281 141_S_1051 0.0136622 0.000885705 -0.000709193 0.00280656 -0.000530521 0.00423944 -0.00613914 -0.0075211 -0.00435945 0.0012161
288 137_S_0800 -0.00511314 -0.00236323 -0.00816032 -0.00266014 -0.00172929 -0.0133364 -0.0102879 0.0141504 -0.00234661 -0.00185644
289 023_S_0126 0.0131907 -0.00596366 0.00181264 -0.0100881 0.00869616 0.000848258 0.0165761 0.00115173 -0.00685252 0.0032472
290 941_S_1363 -0.00320458 -0.0145964 0.0194384 -0.00771113 -0.00417251 -0.00472728 0.00347358 0.00360847 -0.0118396 0.00559816
291 031_S_1209 -0.0107302 -0.00422251 -0.00868225 -0.0075076 0.000405836 -0.00652977 -0.00899311 0.0066349 -0.0015733 0.000866711
292 037_S_0627 -0.010617 0.00540353 -0.0179068 -0.0103458 0.0125757 -0.00383404 0.00382534 0.00554778 -0.0100973 0.012691
293 035_S_0555 -0.00226508 -0.00248275 -0.00354113 0.00249261 0.00574142 -0.00292869 -0.00173237 -0.0167473 -0.0115766 0.00978648
299 021_S_0647 -0.00799362 -0.0163639 0.0144993 0.013355 -0.00571157 -0.00830408 0.0137419 -0.00650174 -0.0125213 -0.00999974
300 021_S_0332 -0.000533682 0.0185274 0.00130195 0.00038819 -0.00466602 0.0046715 0.00780698 -0.00726869 -0.0109319 -0.00666463
301 027_S_0850 -0.000297793 -0.00212131 -0.0083748 0.00458078 0.00691854 0.0193888 0.00194282 -0.00822153 -0.00257984 -0.0122828
